comment_id,comment
206,significant sensex targets 
207,lively cues markets may perk up 
209,high levels build-up budget 
210,real estate stocks take time give good returns 
211,markets bounce back today 
212,fii flows back prices pushed up 
213,three good days market time highs 
214,rediscovered momentum market 
217,mkt moves local phenomenon 
218,monthly charts may help mkts bounce back 
219,brace roller coaster week 
220,fair amount action primary market 
221,nifty sensex likely budget 
222,mkts indecisive breakout breakdown 
223,mkts may rangebound f&o expiry 
224,mkts continue volatile rangebound 
226,crr hike cues could trigger volatile session 
227,market may fragile today 
228,market slide cards 
230,midcaps still value 
233,concerned overheating indian economy 
234,red colour day markets 
235,yet another difficult week indian markets 
236,invested 
241,lively cues perk up markets 
242,idea cellular fairly valued 
244,expect volatility towards end trading session 
249,mkts remain pressure till apr-end 
251,markets bounce back responding good cues 
253,markets headed consolidation 
254,good times ahead markets 
255,mkts remain jittery till next trigger shores 
257,cues mixed more downside possible 
260,market may see panic today 
262,place bet stocks 
263,markets may spend yet another day consolidating 
264,hurry control inflation grips market 
266,crr hike bad news & bond markets economy 
267,earnings risk slower gdp growth 
268,apprehension leading lack investor participation 
271,more consolidation cards 
274,rs fair sesa goa 
278,cues indicate extended pullback 
283,no opportunity auto space 
286,slight bounceback possible pain not yet 
289,balaji telefilms target 
291,book partial profit srf 
292,markets may get consolidation mode 
297,infy results decide next market move 
300,markets begging direction 
301,book profint infosys 
302,infosys always overshoots guidance 
303,infy results spark rally 
304,rs justifiable 
306,mkts cusp multiple possibilities 
307,weak cues may play spoilsport markets 
308,book partial profit polaris 
312,consolidation may continue till infosys speaks 
313,mkts may run rough weather due weak cues 
314,mkts consolidate 
321,markets headed towards new highs 
322,infoline 
323,four wheelers grow yrs 
324,strong cues propel mkts higher levels 
325,another big day markets results today 
327,concerned liquidity 
328,monetary policy decide market fate 
333,lot upside left aptech 
334,markets poised better performance today 
335,mkts take cue chinas next move 
336,aptech target 
337,midcap space 
338,mkts lot firmer 
339,truncated week back full week business 
341,neyveli lignite move upto 
343,bharti deserves premium telcos 
345,may pan fantastic april series 
349,monsoons decide next mkt trend 
350,market sluggish due lack cues 
351,target 
354,play technology currency 
357,market consolidation groove stay range bound 
361,sugar sop not sweet 
362,market breakout offing 
363,whats store housing sector 
364,high credit growth affect asset quality 
365,cues key local mkts performance 
366,own smallcap picks 
370,mkt correction offing 
372,fed statement expected lines mkts stable 
376,unitech looks strong 
381,nifty may breakout today 
382,nifty needs make up mind 
385,sail better bet 
387,industries target 
390,good cues coming markets 
394,yes bank rally upto 
396,thank god friday 
400,no great cues markets 
401,tv today network target 
404,chennai petro target 
407,petroleum target 
409,ptc target 
410,nifty trade levels 
412,divis labs give appreciation 
413,markets correct soon 
417,idea cellular steady mover 
419,mahindra bank target 
426,avaya globalconnect target 
428,markets lead listless day today 
432,patni target 
434,expect upside tata tea 
435,make hay sun shines 
436,markets remain strong 
438,srei infrastructure retest 
441,good rollovers expected today 
442,hopefully settlement alright tomorrow 
445,mahindra gesco resisitance 
449,inspite china markets fine 
454,petronet lng give plus return 
459,cinemax target 
461,i-flex solutions target 
462,niit target 
463,chinas pullback may given heart mkts 
464,fire protection good 
465,see great year print media cos 
466,markets mildly sluggish 
467,small traders playing breakout around 
471,cues may pull up 
472,investors likely get decent pie dlf ipo 
475,mkts see cut 
478,upside left lupin 
479,petronet lng shoot upto 
481,mkts volatility making life difficult traders 
483,low output cv -wheelers hit gdp 
484,markets may edgy today 
485,nifty not able sustain rallies around 
488,more upside punj lloyd 
490,not expect much excitement dlf listing 
493,mkts struggle ahead 
494,expect range sensex 
495,us market cues pretty benign 
496,good closing market 
500,markets continue remain volatile 
504,mkts may volatile today 
508,mkts looking sticky today 
509,ipo pressure left mkt tired fatigued 
510,weak close mkts stay rangebound say experts 
512,upside left lanco infratech 
513,fiis cautious indian mkts 
518,dishman pharma target 
523,stocks portfolio 
524,concerned liquidity condition 
529,madhucon projects clock net profit cr 
531,stocks portfolio 
534,yes bank target 
538,flat close mkts 
540,mkts may see flattish trade today cues mixed 
541,abb provide return 
544,mkts move northward gradually 
545,infy capgemini tie-up could bpo arm 
546,silk industries cross 
549,grasim target 
550,fm promises strong policy action next quarters 
552,upside information quite immense 
554,dlf pronounced impact real estate stocks 
556,midcaps nifty jr leading rally 
558,response good towards ipos 
561,july decisive mkts 
563,mkts well till dlf listing 
565,dlf listing impact realty overall market 
566,dlf may list -rs 
567,liquidity tightening concerns remain 
568,mkt momentum high sight 
569,new highs push prices high 
570,stay frontline cos real estate sector 
571,rel comm still appears good 
572,sbi see appreciation 
574,cement stocks give good appreciation 
577,voltas target 
580,indian bank target 
581,big issue launch brings correction 
587,market becomes stock-specific 
588,dlf magic may spin mkts 
589,last chance make adjustments infys results 
590,infy show direction mkt tomorrow 
591,roman tarmat valuation looks stretched 
592,simplex projects average issue 
594,next wednesday crucial 
596,ptc may provide good returns 
597,mercator lines give appreciation 
599,comm target 
601,indian markets consolidating 
602,indiabulls real estate one stronger realty 
603,infy nos way expectations 
604,bank baroda cross 
605,infy nos important mkt perspective 
606,bank target 
607,mkts end red experts await infy nos 
609,mills trading target 
611,no impact ipo probe news suzlon energy 
613,tcs target 
614,stocks fetch good returns 
615,lots play levels 
617,unitech target 
620,gmr infra target 
621,sensex may hit level 
622,mkts euphoric may reach unreasonable levels 
623,cues looking good today 
624,markets shrugs infosys blues 
625,mills target 
627,mkt sentiment looking good today 
630,dlf share surge levels 
640,rising re aided performing cos 
649,mkts looking us next cues 
650,mkts move inline trends 
651,mkts deal heaviest f&o settlement 
657,stocks hit miss 
658,stocks hit stocks give miss 
659,sensex near landmark level 
661,prism cement target 
662,book partial profit mphasis 
664,cues looking better today 
667,mkts returning normal levels 
669,cues not great today 
671,mkts may volatile today 
672,correction could shave index 
674,mkt watch ecb impact closely 
676,valuation take solns looks stretched 
677,kpr mill continue feel rupee pain 
678,mkts extremely volatile zone 
679,today always going rough day mkts 
687,today could quiet session 
688,edginess remain mkt 
689,mixed cues today 
691,tyche sees gold safest way 
692,stick nifty nifty junior stocks initially 
693,ecb fccb curbs develop indian conv mkt 
694,period agony mkts 
695,rupee uptrend continue 
699,still pain left system 
701,mkt unlikely rally sharply friday 
704,cues not looking good today 
708,neyveli lignite target 
711,no structural change fertiliser industry 
714,mkts gap-up opening today 
715,volatility remain next weeks 
716,underweight due valuation concerns 
719,lot momentum left torrent power 
721,cpm move nukes nervous mkt 
722,nervousness clearly visible markets 
726,volatile session trade 
727,mkts may pull back today 
730,mkts collapse experts expect volatility continue 
731,volatility back 
732,mkts catch up peers today 
736,underlying problems still continue 
744,mkts may remain optimistic today 
750,kpr mill issue stretched 
751,day consolidation 
755,limited upside jaiprakash associates 
756,punj lloyd give returns 
757,cues good today 
758,mkts headed lively session 
760,great comeback whats store triple witching day 
761,new sugar policy boost sector 
762,morgan stanley still underweight 
767,lanco infratech head upto 
772,rolta target 
774,mkts surge despite us blues augurs well 
775,mkts trade rangebound today 
776,mkts trade up today 
778,mkts looking consolidate globally 
779,fed funds rate may appear bailout 
780,mkts could see periods stability 
781,consolidation may continue till sept 
782,cap target around 
786,mkts showing huge resilience cues 
787,decoupling continue happen 
791,mkts may trade lower today 
792,get closer all-time highs next week 
793,mkts could see upside today 
795,fed cut confirms bleak us situation 
796,fed may cut rates bps 
797,china benefited fed rate cut 
798,mkts pause ahead fed meet 
799,september key month mkts 
801,mkts put aug fears rest ipos still big hit 
802,mkts moving slowly towards all-time highs 
803,uptrend continue news highs mkts 
804,mkts consolidate today 
805,markets rest mode 
806,hyperinflation end result us crisis 
810,mkts rest touching all-time highs 
816,mkts may scale newer peaks soon 
819,q earnings line expectations 
820,phenomenal run mkts may cool bit 
822,nifty join sensex dream run 
823,sensex crosses days 
824,us slowdown rising re affecting 
825,mkts near all-time highs 
826,mkts knocking doors 
827,euphoria builds up sensex rally points 
828,own successful restructuring stories 
829,mkts might pause consolidate 
830,bulls still strong 
831,more resilience nervousness mkts 
832,follow-up volatility not encouraging sign 
834,stay bank 
835,rally caused re-rating sectors 
836,us cues not great today 
837,scale thursday 
838,one-off blip correction 
839,intraday scare start correction 
840,ispat industries target 
841,firmly remain bull market 
842,people still extremely under-invested 
844,no panic fiis 
845,mid-term poll prospects make mkts see red 
846,asian economies replace world super powers 
848,subprime crisis effect 
850,book partial profit l&t abb 
851,collateral damage credit crisis limited 
852,clsa sees sensex going forward 
854,power stocks deliver expected earnings nos 
855,us could see repeat depression 
856,investors target sensex 
857,consolidated construction looks overpriced 
858,fridays taste continue today 
859,mkts make comeback monday 
860,sugar cos losses appear less qtr 
861,start profit booking process 
862,us growth rate 
864,infy deliver good news thursday 
865,fundamentals solid technicals hurt 
866,mkts volatile next days 
867,intense volatility continue oct 
868,air nervousness street 
871,mkts could volatile going forward 
872,fm speak questions sebis independence 
873,sebi move may dent fii sentiment 
874,no need unwind positions immediately 
875,restricting p-note flows bad indian mkts 
877,mkts stay rangebound 
879,mkts go higher levels 
880,looks like uptrend pretty much 
883,asia decouple wall street 
884,mkts know shape oct th sebi policy 
885,mkts gallop p-note fears abate 
886,cap sees liquidity slowdown post-sebi meet 
887,mkts may see bit trading bounce 
890,book partial profit rpl 
891,raising working cap invst biz 
892,next two days give near-term mkt direction 
893,today another buzzing day mkts 
895,mkts showing desire go higher 
896,sensex 
898,flowing back system 
899,big week mkts 
900,mkts rejoice post triple witching day 
902,bears lost game 
903,sugar mills scenario up chaos 
906,fiis eyeing alternatives p-notes route 
907,morning round may go bears next round crucial 
908,markets find direction 
910,mkts see higher levels 
914,mkts may correct today 
915,expect violent corrections ahead 
916,caution moderation important mkt 
917,todays close crucial mkts 
918,mkts may stay rangebound choppy 
919,valuations looking stretched 
920,prized midcap picks shouldnt miss 
921,eyes midcap space today 
922,largecaps consolidate pullback 
926,trading party still work 
927,asian ems still vulnerable us slowdown 
928,mkts ready cross today 
929,asia economies future 
930,exactly driving sort mkt frenzy 
931,blues seem ebbed 
932,things looking optimistic 
933,strength asset mkts surprising 
934,markets may consolidate today 
936,neyveli lignite target 
937,currency futures useful tools 
938,essar oil promoters confused 
942,allocate mid smallcaps 
943,no great cues markets 
944,revision essar stls delisting 
946,ioc target 
947,lot upside essar steel 
950,mkts could see significant pullback 
953,today interesting crucial day mkts 
955,mkts scare expected 
958,underweight china 
959,midcap party cues bad 
960,stick midcap stocks feel experts 
963,liquid midcaps focus large caps trading range 
964,f&o exclusion mundra leaves bad taste 
965,mkts bad cues may peg us back 
966,momentum continue f&o expiry 
968,mkt sentiment better liquidity not yet 
969,expect volatility next couple days 
970,may see pullback 
971,mkts consolidate pullback 
972,essar oil target 
975,interest midcaps may continue 
976,rnrl retest 
977,mkts attempt high levels week 
978,focus more midcaps 
979,next couple days reflect decs mood 
980,asian currencies could revalue dollar 
981,need see mkts bounceback continue 
982,correction likely metal space 
984,rnrl good headroom 
985,fed news may trigger mkts breakout levels 
987,mkts factoring bps fed rate cut 
988,positions china must investors 
990,sensex may take another shot today 
991,city gas supply space see huge growth 
993,new midcaps part tomorrows rally 
995,largecaps may move sideways today 
997,touch 
998,midcaps would make better trading opps 
999,economys inherent strength move mkts 
1000,own prized midcap picks 
1001,gspl see more upside 
1002,kolte may trade around 
1003,mkts may not see big rally today 
1006,mf biz kick cy 
1007,bps rate cut wont deter mkts 
1008,may see blockbuster listing wednesday 
1009,jyothy labs deserves plus 
1012,mkts may see two-way trading today 
1013,mkts continue remain skittish 
1015,porwal auto highly priced issue 
1019,more upside cipla dr reddys 
1021,mkts reaction pak tragedy mature 
1022,vsnl deserves half cmp 
1024,signals point corrections 
1025,mkts pegged back consolidation groove 
1026,mkts may see good rally budget 
1027,infras goods better fmcg 
1028,rana sugars triveni engg add 
1029,deccan aviation target 
1030,aviation industry tough going forward 
1031,upside 
1032,mkts getting stuck range 
1034,more headroom psu banks 
1037,mkts focusing domestic story cues 
1038,chances fed rate cut high 
1039,would regret ignoring midcaps 
1040,rebidding process might start soon 
1041,better stocks available eclerx 
1042,watch potential mkt triggers next weeks 
1045,fair manaksia around 
1046,mkt uptrend continue 
1048,centurion bank punjab target 
1049,ril target 
1051,must see fridays momentum continues week 
1052,give better return 
1053,people might lose power sector 
1055,cautious burnpur cement 
1056,mkts trade range today 
1057,good may made icicis unlocking 
1058,earnings season take centrestage 
1059,lack stability among midcaps smallcaps 
1061,expect rally fmcg 
1062,see another correction midcap smallcap 
1066,many m&a midcap space happen 
1067,stay cautious midcap space 
1068,fmcg cos likely clock profit growth 
1069,target 
1071,look midcap space 
1072,sugar cos continue see profits 
1073,potential ferro-chrome plays 
1075,porwal auto list discount 
1076,us full-blown crisis 
1077,aries agro may debut around 
1078,rs fair value precision pipes 
1079,stocks not make new highs near term 
1083,ignore bharti airtel 
1087,day markets primary mkts action 
1088,humongous size ipos slated come year 
1089,one needs take slightly bigger call sbi 
1090,year mega-ipos 
1091,rnrl cross 
1093,expect upside ranbaxy 
1095,difficult road ahead stocks 
1097,ril numbers better expectations 
1098,day trader must stay cautious 
1099,pullback likely situation concern 
1101,sentiment affecting 
1102,essar oil still headroom 
1104,current mkt situation seems hazy 
1105,margin call pressure telling mkts 
1107,may see downside circuit 
1108,sc ruling seems bad sugar stocks 
1109,bulls may go shell mkts dont pull back today 
1111,generic pharma cos post lower op margins 
1118,banking sector limelight 
1119,funds not facing redemption pressure 
1120,near-term nifty go levels 
1122,hyperinflation us dollar likely 
1126,no respite mkts gear up more pain 
1131,add gmr infra 
1133,l&t safe bet 
1135,banking sector looks safest 
1136,cesc still remains cheap power 
1138,mkts still volatile stay cautious 
1139,lessons january 
1140,mkts remain volatile going forward 
1142,mkts clearly expecting rate cut 
1143,mkts pause ahead tomorrows credit policy 
1145,mkts await f&o settlement data 
1147,prepare more volatility 
1148,credit policy fed meet f&o settlement set mkts course 
1151,rate cut signal strong trigger mkts 
1152,mkts may stabilise bit more 
1153,future cap needs consolidate 
1154,good stocks available secondary mkt emaar 
1155,nifty needs retest levels 
1156,mkts may see volatile series month 
1157,q result analysis 
1158,rel power ipo refund likely friday 
1159,apollo hospital much better wockhardt hosp 
1160,irb infra aggressively priced issue 
1161,chances v-shaped recovery unlikely 
1162,fed move damp squib time focus us eco 
1163,mkts move decisively post fed meet 
1165,stay grasim industries 
1170,power may see bounce back 
1171,nifty may rally week 
1175,em outlook much stronger 
1176,ipo cut sends discomfort message investors 
1179,irb infrastructure richly priced issue 
1180,tulsi extru not provide great returns listing 
1181,stocks may see profit booking 
1182,emaar mgf may consider extension 
1183,post pt run mkts catch breath today 
1184,good day market 
1186,rel power list around 
1187,wockhardt hosp emaar ipos still overvalued 
1189,wockhardt hosp fair value 
1190,infrastructure stocks might bottom sooner 
1191,mkts may consolidate today 
1192,see stocks value not mkt cap size 
1193,rate cut big banks could potent trigger mkt 
1194,appetite emaar mfg might lower 
1195,look excellent blue chips 
1196,wall st woes peg back indian mkts 
1197,us economy go recession depression 
1199,& sector ideas february 
1200,steel better space metals 
1202,fair value power 
1203,eyes rel power 
1204,mkts may see volatility weak asian cues 
1205,watch power ipo listing 
1207,pure demand supply would take rel power below 
1211,wockhardt pulls ipo 
1212,mkts stay edgy 
1213,clsa expects sensex go levels 
1215,power may see more supply 
1216,banks may follow sbi rate cuts 
1217,stay blue chips gss america 
1218,infra not right horse back post listing 
1219,mkts may trade low volumes today 
1222,mkts panic wave no level sacrosanct 
1223,near-term technicals dont favour rel power 
1225,medium-term mkt outlook still looks strong 
1229,hul may report earnings growth 
1230,mkts not decoupled us volatility stay 
1232,circuit filters futures stocks could dangerous 
1234,better volumes lift mkts 
1235,starting show signs performance 
1237,mkts carry recovery forward 
1239,stay tata steel sail jsw steel 
1240,dont get carried away oil space 
1241,fresh us cues may peg back mkts today 
1243,robust cues spur pre-budget rally 
1245,sugar highest beta sector market 
1246,value left ranbaxy 
1252,mkts not conducive trading right 
1255,ntpc safer bet 
1259,near-term markets could seek higher levels 
1260,knr const hover around 
1262,agrawals trading tips beginners 
1263,week look ahead 
1267,mkts reeling lack local cues 
1268,crisis us europe get worse 
1269,mkts volatile due non-participation invt 
1270,brokings top midcaps 
1271,expect upside zee news 
1272,eye accurate transformers indo asian fusegear 
1274,icici ventures pulls jp infra deal 
1275,tulsi extrusions smacks operator activity 
1276,nifty may move up pts today 
1278,hotel leela venture target 
1279,rel power ex-bonus range 
1280,difficult surmise mkt direction budget 
1282,fair value irb infrastructure 
1284,tulsi extrusions may list around 
1285,cues quiet mkts lacklustre 
1287,tea not upgrade sector 
1288,energy get large weightage index 
1289,mkts looking solid eyes budget 
1290,change duty structure give relief oil cos 
1297,trade sugar stocks 
1298,abysmal market breadth 
1300,budget good maruti dabur ranbaxy hul 
1301,down year mkts 
1302,banks might not badly foreseeable future 
1303,itc might lose bit favour large investors 
1304,cues may big blow traders 
1305,bouquets brickbats 
1306,mkts unhappy no change corp tax surcharge 
1307,gear up budget day amidst slight turbulence 
1308,onmobile might remain warm 
1311,sentiment would quite bad icici bank 
1313,mkts currently look murky 
1314,raising not easy cos 
1315,asian mkts nervous next months 
1316,mkts not looking good current levels 
1317,looks cheap amongst stocks 
1318,ranbaxy looks best terms valuations 
1323,jp asso might bounce back looks oversold 
1324,large part mkt trading significantly below lows 
1325,idfc looks strong 
1326,slim chances getting back 
1327,mkts trade next week 
1328,shahs tips balancing risk & returns 
1329,mkts could bottom 
1330,mkts capitulation phase 
1331,rel energy wont go near-term 
1333,rec may see easily 
1334,mkts may rally bit more 
1335,mkts constructive mood relief rally sustain 
1336,mkts may bounce back trade rangebound 
1338,next months painful mkts 
1340,rel energy may find difficult hit old highs 
1342,mkts flattish today 
1344,mkts add more zing todays intraday recovery 
1345,see no immediate hope mkt turnaround 
1346,largecaps take hardest beating 
1347,indian cos may face mtm losses bn 
1348,cap goods growth clearly shocking 
1352,mkts showing inability climb higher 
1356,mkts may rally up 
1358,mkts could see deeper downside 
1359,caused todays market crash 
1361,large institutions eyeing non-us mkts 
1362,mkts may get kind shell 
1363,fed meet may trigger mkts 
1365,strong well-weather 
1367,bank bank bank looks strong 
1368,still difficult period mkts 
1369,mkts indicating crisis investor confidence 
1370,weak credit offtake nos banks not good sign 
1373,mkts good next days 
1374,fed sacrifices dollar banking system 
1376,mkts pause ahead fed wednesdays fed meet 
1378,fed cut rates bps 
1379,crisis confidence icici bank 
1380,mkt move slow fed meet 
1383,little revenue impact may seen 
1386,wipro good upside 
1392,ignore private banks 
1393,hopes air mkts seeing april rally 
1394,dealers seeing rangebound mkt near term 
1395,mkts may retrace bit following cues 
1397,gbl cues results key mkts trading forward 
1398,dealers see nifty rally capped upside 
1399,mkts seeing start intermediate rally 
1402,stake dilution psus create more liquidity 
1403,mkts may pause bit 
1404,mkts not yet 
1406,banks tech extremely heavy markets today 
1407,mkts seeing strong fiscal steps govt curb inflation 
1411,profit cos eroded icai ruling 
1412,bit dents seen profit cos icai ruling 
1413,inflation biggest head wind mkt going forward 
1414,etc networks not hottest peer set 
1418,like asian currencies 
1420,bhel good quality 
1421,indiabulls fair value 
1426,infosys guidance decide move stocks 
1432,aviation continues lousy sector 
1434,careful steel stocks 
1435,nothing mkts bears bulls 
1436,its not yet exchanges radar 
1438,gammon infrastructure fair value 
1439,inflation remains central threat market 
1440,auto loses mkt share 
1441,pharma fmcg likely well 
1444,earnings may not key plank market 
1445,nifty range getting narrowed 
1447,sita shree likely list around 
1448,mkts may not make major comeback soon 
1449,earnings inflation us mkts big cues next week 
1450,inflation shaves points sensex 
1452,banks could good value picks 
1455,mkts still waiting big trigger 
1456,mkts trade rangebound 
1457,still rangebound mkt 
1458,upmove bit challenge fmcg stocks 
1460,careful banking sector 
1461,steel cos may see margin pressure 
1463,mkt upmove 
1464,sita shree food fair value 
1465,mkts not ready breakout yet 
1466,banks see muted earnings 
1468,market breadth good since morning 
1469,see earnings growth 
1471,midcap stocks could see good bounces 
1472,bit profit taking happen orchid 
1473,banks may settle lows old highs 
1476,chance mkt breaking lows 
1477,psu bank stocks impacted crr hike monday 
1478,mkt ends week il&fs sees sensex topping 
1479,chambal fertilisers target 
1481,industries target 
1483,interest rate hike china may boost renminbi 
1484,big day market nifty crosses 
1485,experts see downside mkts 
1486,opportunity banking 
1487,infosys needs eps-rs + make mkt happy 
1489,mills target 
1490,stop waiting so-called bottom 
1491,mkts optimistic rally likely 
1492,houses reactions ril earnings 
1494,niftys move key thing watch 
1495,kiri dyes not serious investors 
1497,titagarh wagons may list 
1498,niftys next target 
1499,dabur pharma may trade triple digits 
1502,upside left chambal fertilisers 
1503,dcb target 
1505,crucial barrier nifty 
1506,mkts see clearer picture next weekend 
1507,markets bit choppy expiry day 
1508,chances sensex stooping 
1509,oil exploration good space 
1510,no great upside polaris soft medium term 
1511,mkts optimistic cues guide ahead 
1513,mkts midst nice little upmove 
1517,experts differ road ahead mkts 
1518,remain underweight banking sector 
1519,worst not inflation remains concern 
1520,end trigger season 
1521,midcap numbers seems interesting 
1522,rate cut no us remains problem 
1523,hul net sales up cr 
1524,hul cy net sales seen up cr 
1526,shipping cos numbers would strong going ahead 
1529,aishwarya telecom fair value 
1530,mkts stay rangebound next couple days 
1531,mkts may pause 
1533,banking safest bet 
1535,mkt comfort zone see potential upside 
1536,dont see major triggers right 
1537,il&fs sees mkt months 
1538,week starts mixed note 
1540,hp-eds combine take time capture mkts 
1541,optimistic chinese market 
1543,nifty trade range 
1544,market hovering dangerously close 
1545,fair value itc 
1546,ongc stuck range 
1547,mkts grind bit range today 
1548,quiet day markets culprits pvt banks tech stks 
1551,idea cellular may see upside news 
1552,mkt try maintain levels 
1553,weak disincentivise more oil production 
1554,tea stocks extremely trading oriented 
1559,cement sector face lots headwinds 
1560,mkts likely give up ground following cues 
1562,no big problem sugar 
1564,see retest lows 
1565,still cautious europe us 
1569,ril rpl look safer 
1571,re move towards medium-term 
1579,mkt not ready dip much 
1583,upmove markets led fmcg metal space 
1584,mkts getting rut could flattish session 
1586,macros not great shape 
1588,punj lloyd more rangebound 
1589,nifty witnessed -pt intraday correction 
1591,left make difficult hike go 
1593,nifty seen range next week 
1594,rel power trade around months 
1595,nifty struggling get 
1597,mkts waters 
1598,could end yr lower levels 
1599,european mkts remain volatile 
1600,oil hike bold stoke inflation 
1604,oil hike decision set stage mkts 
1605,hike petrol diesel prices marginally helpful omcs 
1606,refoil fair value 
1609,bank give returns 
1610,infosys safer bet 
1615,expect - pullback mkt 
1616,bit cautious metals 
1617,consolidation year realty stocks 
1619,ongc target 
1621,march lows likely tested morning 
1623,dlf see 
1626,bhel slide 
1635,niftys fresh closing low 
1636,sensex hits fresh low 
1640,sensex seems cards near future 
1641,upside left cairn 
1643,not good time invst 
1645,lot weakness rnrl 
1646,nifty may reach levels 
1647,news takeover war ranbaxy seems surprising 
1648,inflation wont near-term crucial factor mkts 
1649,nifty back 
1650,bank target 
1652,realty stocks not yet 
1654,grim picture mkts 
1656,mkts may pull back today 
1657,expect less downside power 
1658,indian mkts may ride good cues asia 
1661,see crude bbl 
1663,mkt remain trading range 
1666,mkts may help nifty inch levels 
1667,crude important triggers 
1669,mkts volatile today 
1672,already shorting time nifty trader 
1673,cement doesnt deserve more 
1674,ambuja cements not cheap 
1675,ranbaxy labs might see bounce 
1678,lotus eye fair value not more 
1680,banking not defensive sector 
1681,stick frontline stocks 
1682,investors may stand lose lotus eye 
1683,ksk energy may see interest institutional players 
1684,trade environment stay murky 
1686,brokerages cut eps forecast more policy action likely 
1690,shree renuka retest 
1692,breach levels hit bk realty stks 
1693,see another bps rate hike yr-end 
1695,pain left metal 
1698,rbi move spells bad news mkts 
1699,stocks trade lower pe multiples 
1703,fears bad us cues still haunting mkts 
